🇨🇳| 央视,#genre#
CCTV16,http://13457610200.8866.org:2018/live/中14HD./index.m3u8
CCTV16,http://caiyehe.7766.org:9901/tsfile/live/1075_1.m3u8
CCTV16,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv16$r7d 8M FHD
CCTV16,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv164k$r7d 15M UHD
CCTV17,https://i.125011.xyz/migu.php?id=cctv17
CCTV17,http://36.129.204.120:880/CCN16.m3u8
CCTV17,http://13457610200.8866.org:2018/live/CCTVx17高清/index.m3u8
CCTV17,http://caiyehe.7766.org:9901/tsfile/live/1055_1.m3u8
CCTV17,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv17$r7d 8M FHD
CCTV5+,https://i.125011.xyz/migu.php?id=cctv5p
CCTV5+,https://i.125011.xyz/migu.php?id=cctv5p2
CCTV5+,http://36.129.204.120:880/DX5.m3u8
CCTV5+,http://13457610200.8866.org:2018/live/CCTVx5p高清/index.m3u8
CCTV5+,http://13457610200.8866.org:2018/live/中央05HD/index.m3u8
CCTV5+,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv5p$r7d 8M FHD
CCTV5+,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv5p2$r7d 8M FHD
CCTV4欧洲,https://i.125011.xyz/migu.php?id=cctv4o
CCTV4美洲,https://i.125011.xyz/migu.php?id=cctv4a
CCTV4K,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cctv4k$r7d 15M UHD
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTN,http://36.129.204.120:880/CCN18.m3u8
CGTN,http://caiyehe.7766.org:9901/tsfile/live/1036_1.m3u8
CGTN,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cgtn$r7d 1.3M SD
CGTN纪录,http://livedoc.cgtn.com/1000d/prog_index.m3u8
CGTN俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,http://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN阿拉伯语,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN阿拉伯语,https://i.125011.xyz/migu.php?id=cgtna
CGTN西班牙语,http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN西班牙语,https://i.125011.xyz/migu.php?id=cgtne
中国教育1台,http://36.129.204.120:880/dx84.m3u8
中国教育1台,http://13457610200.8866.org:2018/live/中国教育高清/index.m3u8
中国教育1台,http://caiyehe.7766.org:9901/tsfile/live/1031_1.m3u8
中国教育1台,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=zgjy1$r7d 8M FHD
中国教育2台,http://36.129.204.120:8800/huahan87.m3u8
中国教育2台,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=zgjy2$r7d 2.5M SD
中国教育3台,http://36.129.204.120:8800/network02.m3u8
中国教育4台,http://36.129.204.120:880/CCN156.m3u8
中国教育4台,http://13457610200.8866.org:2018/live/有线娱乐4HD/index.m3u8
中国教育4台,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=zgjy4$r7d 8M FHD
中国国际教育1,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
中国国际教育2,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
